time	cpu_%	mem_%
264	0.10438	0.937037
265	0.104793	0.937025
266	0.103426	0.937022
267	0.105424	0.937021
268	0.104725	0.937016
269	0.10423	0.937015
270	0.10453	0.937016
271	0.104426	0.937015
272	0.103253	0.937016
273	0.103876	0.937015
274	0.105641	0.937015
275	0.104162	0.937015
276	0.103885	0.937014
277	0.105734	0.937014
278	0.104919	0.937014
279	0.104208	0.937014
280	0.104689	0.937015
281	0.103704	0.937016
282	0.106077	0.937016
283	0.103794	0.937016
284	0.104208	0.937017
285	0.105813	0.937017
286	0.104208	0.937017
287	0.104689	0.937017
288	0.104335	0.937017
289	0.103794	0.937017
290	0.104426	0.937017
291	0.104988	0.937017
292	0.10438	0.937019
293	0.104735	0.937019
294	0.103471	0.937019
295	0.103772	0.937018
296	0.106123	0.937019
297	0.107291	0.93702
298	0.10423	0.93702
299	0.103802	0.93702
300	0.10642	0.937019
301	0.104162	0.937019
302	0.103493	0.937021
303	0.104139	0.937022
304	0.104112	0.937022
305	0.104481	0.937022
306	0.104066	0.937022
307	0.10648	0.937022
308	0.103893	0.937022
309	0.106378	0.937021
310	0.104918	0.937022
311	0.104689	0.937022
312	0.105148	0.937022
313	0.106239	0.937022
314	0.104021	0.937022
315	0.104953	0.937022
316	0.105298	0.937027
317	0.106652	0.937028
318	0.104481	0.937028
319	0.106839	0.937027
320	0.106643	0.937025
321	0.104735	0.937024
322	0.105194	0.937027
323	0.105459	0.937027
324	0.105022	0.937027
325	0.10424	0.937026
326	0.106346	0.937027
327	0.106262	0.937027
328	0.104448	0.937029
329	0.104644	0.937029
330	0.104793	0.93703
331	0.103621	0.937029
332	0.103147	0.937029
333	0.104426	0.93703
334	0.103644	0.93703
335	0.105011	0.93703
336	0.104058	0.93703
337	0.104148	0.937032
338	0.102883	0.937033
339	0.103102	0.937033
340	0.103734	0.937033
341	0.104148	0.937032
342	0.10323	0.937034
343	0.123554	0.937033
344	0.125601	0.937033
345	0.124372	0.937033
346	0.125711	0.937034
347	0.125137	0.937034
348	0.124014	0.937035
349	0.126638	0.937034
350	0.124645	0.937034
351	0.125	0.937034
352	0.125547	0.937035
354	0.125246	0.937036
355	0.12612	0.937036
